"year","lea_code","lea_name","subgroup","subject","grade","enrollment_status","n_test_takers","baseline","target"
2014,163,"National Collegiate Preparatory PCS","All","Reading","all","full_year",69,0.484375,0.61328125
2014,109,"Cesar Chavez PCS","ECONOMY","Reading","all","full_year",741,0.469670710571924,0.602253032928943
2014,118,"Early Childhood Academy PCS","BL7","Reading","all","full_year",25,0.552631578947368,0.664473684210526
2014,149,"Two Rivers PCS","BL7","Reading","all","full_year",199,0.609756097560976,0.707317073170732
2014,149,"Two Rivers PCS","WH7","Reading","all","full_year",56,0.944444444444444,0.958333333333333
2014,168,"Basis DC PCS","BL7","Reading","all","full_year",217,0.681802908221194,0.734835756850995
2014,168,"Basis DC PCS","MU7","Reading","all","full_year",28,0.92461743863613,0.937181198863442
2014,1,"District of Columbia Public Schools","BL7","Reading","all","full_year",12468,0.365742628074467,0.52430697105585
2014,108,"Capital City PCS","SPED","Reading","all","full_year",100,0.333333333333333,0.5
2014,121,"Hope Community Academy PCS","All","Reading","all","full_year",233,0.480851063829787,0.61063829787234
2014,121,"Hope Community Academy PCS","SPED","Reading","all","full_year",48,0.255813953488372,0.441860465116279
2014,137,"Options PCS","SPED","Reading","all","full_year",99,0.121212121212121,0.340909090909091
2014,140,"Roots PCS","BL7","Reading","all","full_year",36,0.583333333333333,0.6875
2014,156,"Center City PCS","SPED","Reading","all","full_year",138,0.156862745098039,0.367647058823529
2014,159,"Imagine Southeast PCS","BL7","Reading","all","full_year",134,0.289256198347107,0.466942148760331
2014,160,"Washington Yu Ying PCS","All","Reading","all","full_year",167,0.628571428571429,0.721428571428571
2014,114,"D.C. Bilingual PCS","HI7","Reading","all","full_year",136,0.359223300970874,0.519417475728155
2014,121,"Hope Community Academy PCS","ECONOMY","Reading","all","full_year",201,0.463855421686747,0.59789156626506
2014,132,"Mary McLeod Bethune  PCS","All","Reading","all","full_year",160,0.4,0.55
2014,139,"Potomac Lighthouse PCS","ECONOMY","Reading","all","full_year",157,0.5,0.625
2014,142,"School for Educational Evolution and Development (SEED) PCS","All","Reading","all","full_year",259,0.601092896174863,0.700819672131147
2014,152,"Washington Math Science & Technology (WMST) PCS","ECONOMY","Reading","all","full_year",75,0.590909090909091,0.693181818181818
2014,159,"Imagine Southeast PCS","ECONOMY","Reading","all","full_year",138,0.29126213592233,0.468446601941748
2014,175,"Somerset PCS","All","Reading","all","full_year",146,0.37463039928616,0.42674453267898
2014,175,"Somerset PCS","SPED","Reading","all","full_year",31,0.215613663969342,0.280979191971897
2014,113,"Community Academy PCS","BL7","Reading","all","full_year",282,0.441908713692946,0.581431535269709
2014,115,"D.C. Preparatory Academy PCS","All","Reading","all","full_year",471,0.720779220779221,0.790584415584416
2014,115,"D.C. Preparatory Academy PCS","SPED","Reading","all","full_year",69,0.346938775510204,0.510204081632653
2014,124,"Howard University Middle School of Math and Science","ECONOMY","Reading","all","full_year",198,0.705521472392638,0.779141104294479
2014,126,"IDEA PCS","BL7","Reading","all","full_year",46,0.393103448275862,0.544827586206897
2014,138,"Paul PCS","ECONOMY","Reading","all","full_year",34,0.638059701492537,0.728544776119403
2014,143,"St. Coletta Special Education PCS","All","Reading","all","full_year",95,0.89873417721519,0.924050632911392
2014,143,"St. Coletta Special Education PCS","SPED","Reading","all","full_year",95,0.89873417721519,0.924050632911392
2014,152,"Washington Math Science & Technology (WMST) PCS","BL7","Reading","all","full_year",74,0.590909090909091,0.693181818181818
2014,155,"Achievement Preparatory Academy PCS","All","Reading","all","full_year",411,0.596899224806202,0.697674418604651
2014,168,"Basis DC PCS","ECONOMY","Reading","all","full_year",119,0.621676357505609,0.684730297921341
2014,1,"District of Columbia Public Schools","SPED","Reading","all","full_year",3106,0.154595404595405,0.365946553446553
2014,114,"D.C. Bilingual PCS","LEP","Reading","all","full_year",117,0.216216216216216,0.412162162162162
2014,115,"D.C. Preparatory Academy PCS","ECONOMY","Reading","all","full_year",393,0.688796680497925,0.766597510373444
2014,121,"Hope Community Academy PCS","BL7","Reading","all","full_year",225,0.480176211453745,0.610132158590308
2014,127,"Ideal Academy PCS","BL7","Reading","all","full_year",111,0.35,0.5125
