,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
113-2013-14-All Students-Withdrawal-External-February,113-2013-14-All Students-Withdrawal-External,February,113,2013-14,All Students,Withdrawal,0.017889088,0.040672008,External,559,10
113-2013-14-All Students-Net Cumulative-External-February,113-2013-14-All Students-Net Cumulative-External,February,113,2013-14,All Students,Net Cumulative,-0.017889088,-0.003792911,External,559,-10
113-2013-14-All Students-Entry-External-January,113-2013-14-All Students-Entry-External,January,113,2013-14,All Students,Entry,0,0.031586166,External,559,0
113-2013-14-All Students-Withdrawal-External-January,113-2013-14-All Students-Withdrawal-External,January,113,2013-14,All Students,Withdrawal,0.017889088,0.034071915,External,559,10
113-2013-14-All Students-Net Cumulative-External-January,113-2013-14-All Students-Net Cumulative-External,January,113,2013-14,All Students,Net Cumulative,-0.017889088,-0.00248575,External,559,-10
113-2013-14-All Students-Entry-External-March,113-2013-14-All Students-Entry-External,March,113,2013-14,All Students,Entry,0,0.041829169,External,559,0
113-2013-14-All Students-Withdrawal-External-March,113-2013-14-All Students-Withdrawal-External,March,113,2013-14,All Students,Withdrawal,0.017889088,0.047057815,External,559,10
113-2013-14-All Students-Net Cumulative-External-March,113-2013-14-All Students-Net Cumulative-External,March,113,2013-14,All Students,Net Cumulative,-0.017889088,-0.005228646,External,559,-10
113-2013-14-All Students-Entry-External-May,113-2013-14-All Students-Entry-External,May,113,2013-14,All Students,Entry,0,0.052072171,External,559,0
113-2013-14-All Students-Withdrawal-External-May,113-2013-14-All Students-Withdrawal-External,May,113,2013-14,All Students,Withdrawal,0.023255814,0.056165088,External,559,13
113-2013-14-All Students-Net Cumulative-External-May,113-2013-14-All Students-Net Cumulative-External,May,113,2013-14,All Students,Net Cumulative,-0.023255814,-0.004092915,External,559,-13
113-2013-14-All Students-Entry-External-November,113-2013-14-All Students-Entry-External,November,113,2013-14,All Students,Entry,0,0.01965028,External,559,0
113-2013-14-All Students-Withdrawal-External-November,113-2013-14-All Students-Withdrawal-External,November,113,2013-14,All Students,Withdrawal,0.010733453,0.019071702,External,559,6
113-2013-14-All Students-Net Cumulative-External-November,113-2013-14-All Students-Net Cumulative-External,November,113,2013-14,All Students,Net Cumulative,-0.010733453,0.00057858,External,559,-6
113-2013-14-All Students-Entry-External-October,113-2013-14-All Students-Entry-External,October,113,2013-14,All Students,Entry,0,0.013221618,External,559,0
113-2013-14-All Students-Withdrawal-External-October,113-2013-14-All Students-Withdrawal-External,October,113,2013-14,All Students,Withdrawal,0.005366726,0.011743025,External,559,3
113-2013-14-All Students-Net Cumulative-External-October,113-2013-14-All Students-Net Cumulative-External,October,113,2013-14,All Students,Net Cumulative,-0.005366726,0.001478593,External,559,-3
114-2013-14-All Students-Entry-External-April,114-2013-14-All Students-Entry-External,April,114,2013-14,All Students,Entry,0.006651885,0.050190546,External,451,3
114-2013-14-All Students-Withdrawal-External-April,114-2013-14-All Students-Withdrawal-External,April,114,2013-14,All Students,Withdrawal,0.079822615,0.054866787,External,451,36
114-2013-14-All Students-Net Cumulative-External-April,114-2013-14-All Students-Net Cumulative-External,April,114,2013-14,All Students,Net Cumulative,-0.073170729,-0.004676241,External,451,-33
114-2013-14-All Students-Entry-External-December,114-2013-14-All Students-Entry-External,December,114,2013-14,All Students,Entry,0.006651885,0.024213277,External,451,3
114-2013-14-All Students-Withdrawal-External-December,114-2013-14-All Students-Withdrawal-External,December,114,2013-14,All Students,Withdrawal,0.046563193,0.025095273,External,451,21
114-2013-14-All Students-Net Cumulative-External-December,114-2013-14-All Students-Net Cumulative-External,December,114,2013-14,All Students,Net Cumulative,-0.039911307,-0.000881996,External,451,-18
114-2013-14-All Students-Entry-External-February,114-2013-14-All Students-Entry-External,February,114,2013-14,All Students,Entry,0.006651885,0.038325205,External,451,3
114-2013-14-All Students-Withdrawal-External-February,114-2013-14-All Students-Withdrawal-External,February,114,2013-14,All Students,Withdrawal,0.055432372,0.040355463,External,451,25
114-2013-14-All Students-Net Cumulative-External-February,114-2013-14-All Students-Net Cumulative-External,February,114,2013-14,All Students,Net Cumulative,-0.048780486,-0.002030254,External,451,-22
114-2013-14-All Students-Entry-External-January,114-2013-14-All Students-Entry-External,January,114,2013-14,All Students,Entry,0.006651885,0.032417499,External,451,3
114-2013-14-All Students-Withdrawal-External-January,114-2013-14-All Students-Withdrawal-External,January,114,2013-14,All Students,Withdrawal,0.055432372,0.033366062,External,451,25
114-2013-14-All Students-Net Cumulative-External-January,114-2013-14-All Students-Net Cumulative-External,January,114,2013-14,All Students,Net Cumulative,-0.048780486,-0.000948561,External,451,-22
114-2013-14-All Students-Entry-External-March,114-2013-14-All Students-Entry-External,March,114,2013-14,All Students,Entry,0.006651885,0.044232912,External,451,3
114-2013-14-All Students-Withdrawal-External-March,114-2013-14-All Students-Withdrawal-External,March,114,2013-14,All Students,Withdrawal,0.066518851,0.047411427,External,451,30
114-2013-14-All Students-Net Cumulative-External-March,114-2013-14-All Students-Net Cumulative-External,March,114,2013-14,All Students,Net Cumulative,-0.059866961,-0.003178513,External,451,-27
114-2013-14-All Students-Entry-External-May,114-2013-14-All Students-Entry-External,May,114,2013-14,All Students,Entry,0.006651885,0.05516633,External,451,3
114-2013-14-All Students-Withdrawal-External-May,114-2013-14-All Students-Withdrawal-External,May,114,2013-14,All Students,Withdrawal,0.079822615,0.059193555,External,451,36
114-2013-14-All Students-Net Cumulative-External-May,114-2013-14-All Students-Net Cumulative-External,May,114,2013-14,All Students,Net Cumulative,-0.073170729,-0.004027226,External,451,-33
114-2013-14-All Students-Entry-External-November,114-2013-14-All Students-Entry-External,November,114,2013-14,All Students,Entry,0.00443459,0.019903148,External,451,2
114-2013-14-All Students-Withdrawal-External-November,114-2013-14-All Students-Withdrawal-External,November,114,2013-14,All Students,Withdrawal,0.033259425,0.018505268,External,451,15
114-2013-14-All Students-Net Cumulative-External-November,114-2013-14-All Students-Net Cumulative-External,November,114,2013-14,All Students,Net Cumulative,-0.028824834,0.00139788,External,451,-13
114-2013-14-All Students-Entry-External-October,114-2013-14-All Students-Entry-External,October,114,2013-14,All Students,Entry,0.00443459,0.013379707,External,451,2
114-2013-14-All Students-Withdrawal-External-October,114-2013-14-All Students-Withdrawal-External,October,114,2013-14,All Students,Withdrawal,0.01330377,0.010983342,External,451,6
114-2013-14-All Students-Net Cumulative-External-October,114-2013-14-All Students-Net Cumulative-External,October,114,2013-14,All Students,Net Cumulative,-0.00886918,0.002396366,External,451,-4
115-2013-14-All Students-Entry-External-April,115-2013-14-All Students-Entry-External,April,115,2013-14,All Students,Entry,0.009433962,0.059143391,External,318,3
115-2013-14-All Students-Withdrawal-External-April,115-2013-14-All Students-Withdrawal-External,April,115,2013-14,All Students,Withdrawal,0.08176101,0.062942274,External,318,26
115-2013-14-All Students-Net Cumulative-External-April,115-2013-14-All Students-Net Cumulative-External,April,115,2013-14,All Students,Net Cumulative,-0.072327048,-0.003798883,External,318,-23
115-2013-14-All Students-Entry-External-December,115-2013-14-All Students-Entry-External,December,115,2013-14,All Students,Entry,0.006289308,0.026815642,External,318,2
115-2013-14-All Students-Withdrawal-External-December,115-2013-14-All Students-Withdrawal-External,December,115,2013-14,All Students,Withdrawal,0.015723271,0.022718808,External,318,5
115-2013-14-All Students-Net Cumulative-External-December,115-2013-14-All Students-Net Cumulative-External,December,115,2013-14,All Students,Net Cumulative,-0.009433962,0.004096834,External,318,-3
115-2013-14-All Students-Entry-External-February,115-2013-14-All Students-Entry-External,February,115,2013-14,All Students,Entry,0.009433962,0.043351956,External,318,3
115-2013-14-All Students-Withdrawal-External-February,115-2013-14-All Students-Withdrawal-External,February,115,2013-14,All Students,Withdrawal,0.034591194,0.03925512,External,318,11
115-2013-14-All Students-Net Cumulative-External-February,115-2013-14-All Students-Net Cumulative-External,February,115,2013-14,All Students,Net Cumulative,-0.025157232,0.004096834,External,318,-8
115-2013-14-All Students-Entry-External-January,115-2013-14-All Students-Entry-External,January,115,2013-14,All Students,Entry,0.006289308,0.035307262,External,318,2
115-2013-14-All Students-Withdrawal-External-January,115-2013-14-All Students-Withdrawal-External,January,115,2013-14,All Students,Withdrawal,0.025157232,0.030912478,External,318,8
115-2013-14-All Students-Net Cumulative-External-January,115-2013-14-All Students-Net Cumulative-External,January,115,2013-14,All Students,Net Cumulative,-0.018867925,0.004394786,External,318,-6
115-2013-14-All Students-Entry-External-March,115-2013-14-All Students-Entry-External,March,115,2013-14,All Students,Entry,0.009433962,0.052588455,External,318,3
115-2013-14-All Students-Withdrawal-External-March,115-2013-14-All Students-Withdrawal-External,March,115,2013-14,All Students,Withdrawal,0.03773585,0.048640598,External,318,12
115-2013-14-All Students-Net Cumulative-External-March,115-2013-14-All Students-Net Cumulative-External,March,115,2013-14,All Students,Net Cumulative,-0.028301887,0.003947859,External,318,-9
115-2013-14-All Students-Entry-External-May,115-2013-14-All Students-Entry-External,May,115,2013-14,All Students,Entry,0.009433962,0.065921791,External,318,3
115-2013-14-All Students-Withdrawal-External-May,115-2013-14-All Students-Withdrawal-External,May,115,2013-14,All Students,Withdrawal,0.091194965,0.069720671,External,318,29
115-2013-14-All Students-Net Cumulative-External-May,115-2013-14-All Students-Net Cumulative-External,May,115,2013-14,All Students,Net Cumulative,-0.08176101,-0.003798883,External,318,-26
115-2013-14-All Students-Entry-External-November,115-2013-14-All Students-Entry-External,November,115,2013-14,All Students,Entry,0.006289308,0.020782122,External,318,2
115-2013-14-All Students-Withdrawal-External-November,115-2013-14-All Students-Withdrawal-External,November,115,2013-14,All Students,Withdrawal,0.012578616,0.016536312,External,318,4
115-2013-14-All Students-Net Cumulative-External-November,115-2013-14-All Students-Net Cumulative-External,November,115,2013-14,All Students,Net Cumulative,-0.006289308,0.00424581,External,318,-2
115-2013-14-All Students-Entry-External-October,115-2013-14-All Students-Entry-External,October,115,2013-14,All Students,Entry,0.006289308,0.013929237,External,318,2
115-2013-14-All Students-Withdrawal-External-October,115-2013-14-All Students-Withdrawal-External,October,115,2013-14,All Students,Withdrawal,0.009433962,0.008342644,External,318,3
115-2013-14-All Students-Net Cumulative-External-October,115-2013-14-All Students-Net Cumulative-External,October,115,2013-14,All Students,Net Cumulative,-0.003144654,0.005586592,External,318,-1
116-2013-14-All Students-Entry-External-April,116-2013-14-All Students-Entry-External,April,116,2013-14,All Students,Entry,0.00591716,0.054506175,External,338,2
116-2013-14-All Students-Withdrawal-External-April,116-2013-14-All Students-Withdrawal-External,April,116,2013-14,All Students,Withdrawal,0.079881653,0.056943443,External,338,27
116-2013-14-All Students-Net Cumulative-External-April,116-2013-14-All Students-Net Cumulative-External,April,116,2013-14,All Students,Net Cumulative,-0.073964499,-0.002437268,External,338,-25
116-2013-14-All Students-Entry-External-December,116-2013-14-All Students-Entry-External,December,116,2013-14,All Students,Entry,0.00295858,0.024538858,External,338,1
116-2013-14-All Students-Withdrawal-External-December,116-2013-14-All Students-Withdrawal-External,December,116,2013-14,All Students,Withdrawal,0.023668639,0.021326095,External,338,8
116-2013-14-All Students-Net Cumulative-External-December,116-2013-14-All Students-Net Cumulative-External,December,116,2013-14,All Students,Net Cumulative,-0.020710059,0.003212763,External,338,-7
116-2013-14-All Students-Entry-External-February,116-2013-14-All Students-Entry-External,February,116,2013-14,All Students,Entry,0.00295858,0.040214922,External,338,1
116-2013-14-All Students-Withdrawal-External-February,116-2013-14-All Students-Withdrawal-External,February,116,2013-14,All Students,Withdrawal,0.041420117,0.036448237,External,338,14
116-2013-14-All Students-Net Cumulative-External-February,116-2013-14-All Students-Net Cumulative-External,February,116,2013-14,All Students,Net Cumulative,-0.03846154,0.003766687,External,338,-13
116-2013-14-All Students-Entry-External-January,116-2013-14-All Students-Entry-External,January,116,2013-14,All Students,Entry,0.00295858,0.032570764,External,338,1
116-2013-14-All Students-Withdrawal-External-January,116-2013-14-All Students-Withdrawal-External,January,116,2013-14,All Students,Withdrawal,0.035502959,0.029025646,External,338,12
116-2013-14-All Students-Net Cumulative-External-January,116-2013-14-All Students-Net Cumulative-External,January,116,2013-14,All Students,Net Cumulative,-0.032544378,0.003545117,External,338,-11
